,Unnamed: 0,Type of Dwelling,General Zoning Classification,Linear feet of street connected to the property,Lot size in square feet,Type Of Road Access To Property,Type Of Alley Access To Property,General Shape of Property,Flatness Of The Property,Type Of Utilities Available,plot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Proximity to various conditions (if more than one is present),Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on the house,Masonry veneer type,Masonry veneer area in square feet,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,: Type 2 finished square feet ,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
364,364,2-STORY 1946 & NEWER,Residential Low-Density,0,18800,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,Northwest Ames,Normal,Normal,6,5,1976,1976,Gable,Standard (Composite) Shingle,Hard Board,Brick Face,120,TA,TA,PConc,Gd,TA,Mn,GLQ,712,Unf,0,84,796,GasA,TA,Y,SBrkr,790,784,1574,1,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Fin,2,566,TA,TA,Y,306,111,0,0,0,0,No,No,No,0,Jul,2006,WD,Normal,190000
365,365,2-STORY 1945 & OLDER,Residential Medium Density,59,10690,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,5,7,1920,1997,Hip,Standard (Composite) Shingle,Vinyl Siding,None,0,TA,Gd,CBlock,TA,Fa,No,Rec,456,Unf,0,216,672,GasA,Gd,Y,FuseA,672,672,1344,0,0,1,0,3,1,TA,6,Typ,0,No,Detchd,1964.0,Unf,1,468,TA,Fa,Y,0,128,218,0,0,0,No,No,No,0,Jul,2009,WD,Normal,147000
366,366,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9500,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,6,5,1963,1963,Gable,Standard (Composite) Shingle,Plywood,Brick Face,247,TA,TA,CBlock,Gd,TA,No,BLQ,609,Unf,0,785,1394,GasA,Gd,Y,SBrkr,1394,0,1394,1,0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1963.0,RFn,2,514,TA,TA,Y,0,76,0,0,185,0,No,No,No,0,Jul,2009,WD,Normal,159000
367,367,SPLIT OR MULTI-LEVEL,Residential Low-Density,101,9150,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Normal,6,5,1962,1962,Gable,Gravel & Tar,Plywood,Brick Face,305,TA,TA,CBlock,Gd,TA,Gd,GLQ,371,Unf,0,728,1099,GasA,Gd,Y,SBrkr,1431,0,1431,0,1,1,0,3,1,TA,6,Typ,1,Gd,Basment,1962.0,RFn,1,296,TA,TA,Y,64,110,0,0,0,0,No,No,No,0,Dec,2008,WD,Normal,165000
368,368,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,78,7800,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,5,6,1954,1954,Gable,Standard (Composite) Shingle,Hard Board,Brick Face,200,TA,TA,PConc,TA,TA,No,LwQ,540,Unf,0,728,1268,GasA,Gd,Y,SBrkr,1268,0,1268,0,0,1,0,2,1,TA,7,Typ,1,Gd,Attchd,1954.0,Fin,1,244,TA,TA,Y,0,98,0,0,0,0,No,No,No,0,Mar,2010,WD,Normal,132000
369,369,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9830,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Normal,5,7,1959,2006,Gable,Standard (Composite) Shingle,Wood Siding,None,0,TA,Gd,CBlock,TA,TA,No,ALQ,72,Rec,258,733,1063,GasA,Ex,Y,SBrkr,1287,0,1287,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1997.0,Fin,2,576,TA,TA,Y,364,17,0,0,182,0,No,No,No,0,Mar,2010,WD,Normal,162000
370,370,2-STORY 1946 & NEWER,Residential Low-Density,0,8121,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Normal,6,5,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,953,953,GasA,Ex,Y,SBrkr,953,711,1664,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,2000.0,RFn,2,460,TA,TA,Y,100,40,0,0,0,0,No,No,No,0,Jan,2006,WD,Normal,172400
371,371,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,80,17120,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Clear Creek,Feedr&Norm,Normal,4,4,1959,1959,Gable,Standard (Composite) Shingle,Wood Shingles,None,0,TA,TA,CBlock,No,No,No,No,0,No,0,0,0,GasA,TA,Y,SBrkr,1120,468,1588,0,0,2,0,4,1,TA,7,Min2,1,Gd,Detchd,1991.0,Fin,2,680,TA,TA,N,0,59,0,0,0,0,No,No,No,0,Jul,2008,WD,Normal,134432
372,372,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,50,7175,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,6,5,1984,1984,Gable,Standard (Composite) Shingle,Plywood,None,0,TA,TA,CBlock,Gd,TA,No,ALQ,623,LwQ,121,0,744,GasA,TA,Y,SBrkr,752,0,752,1,0,1,0,2,1,TA,4,Typ,0,No,Attchd,1984.0,Unf,1,264,TA,TA,Y,353,0,0,0,90,0,No,MnPrv,No,0,Feb,2010,WD,Normal,125000
373,373,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,79,10634,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,5,6,1953,1953,Gable,Standard (Composite) Shingle,Metal Siding,None,0,TA,TA,PConc,TA,TA,No,BLQ,428,LwQ,180,0,608,GasA,TA,Y,SBrkr,1319,0,1319,1,0,1,0,3,1,TA,5,Min2,0,No,Attchd,1953.0,Unf,1,270,TA,TA,Y,66,0,0,0,0,0,No,GdWo,No,0,Nov,2009,WD,Normal,123000
374,374,2-STORY 1946 & NEWER,Residential Low-Density,65,8200,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,7,5,2003,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,847,847,GasA,Ex,Y,SBrkr,847,1081,1928,0,0,2,1,4,1,Gd,8,Typ,1,Gd,BuiltIn,2003.0,Fin,2,434,TA,TA,Y,100,48,0,0,0,0,No,No,No,0,Jul,2007,WD,Normal,219500
375,375,1-STORY 1945 & OLDER,Residential Low-Density,0,10020,Paved,No Alley Access,Slightly irregular,Depression,"All public Utilities (E,G,W,& S)",Inside lot,Severe Slope,Edwards,Normal,Normal,1,1,1922,1950,Gable,Standard (Composite) Shingle,Wood Siding,None,0,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,350,Unf,0,333,683,GasA,Gd,N,FuseA,904,0,904,1,0,0,1,1,1,Fa,4,Maj1,0,No,No,,No,0,0,No,No,Y,0,0,0,0,0,0,No,No,No,0,Mar,2009,WD,Normal,61000
376,376,SPLIT FOYER,Residential Low-Density,57,8846,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,College Creek,Normal,Normal,5,5,1996,1996,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,298,Unf,0,572,870,GasA,Ex,Y,SBrkr,914,0,914,0,0,1,0,2,1,TA,5,Typ,0,No,Detchd,1998.0,Unf,2,576,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,Jul,2006,WD,Normal,148000
377,377,2-STORY 1946 & NEWER,Floating Village Residential,102,11143,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Somerset,Normal,Normal,8,5,2004,2005,Gable,Standard (Composite) Shingle,Cement Board,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1580,1580,GasA,Ex,Y,SBrkr,1580,886,2466,0,0,3,0,4,1,Gd,8,Typ,1,Gd,Attchd,2004.0,RFn,2,610,TA,TA,Y,159,214,0,0,0,0,No,No,No,0,Dec,2007,WD,Normal,340000
378,378,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,88,11394,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Stone Brook,Normal,Normal,9,2,2010,2010,Hip,Standard (Composite) Shingle,Vinyl Siding,Stone,350,Gd,TA,PConc,Ex,TA,Av,GLQ,1445,Unf,0,411,1856,GasA,Ex,Y,SBrkr,1856,0,1856,1,0,1,1,1,1,Ex,8,Typ,1,Ex,Attchd,2010.0,Fin,3,834,TA,TA,Y,113,0,0,0,0,0,No,No,No,0,Jun,2010,New,Partial,394432
379,379,2-STORY 1946 & NEWER,Residential Low-Density,60,8123,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,RRAn&Norm,Normal,6,5,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,16,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,982,982,GasA,Ex,Y,SBrkr,1007,793,1800,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,2000.0,Fin,2,463,TA,TA,Y,100,63,0,0,0,0,No,No,No,0,Jun,2009,WD,Normal,179000
380,380,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,50,5000,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,South & West of Iowa State University,Normal,Normal,5,6,1924,1950,Gable,Standard (Composite) Shingle,Brick Face,None,0,TA,TA,BrkTil,TA,TA,No,LwQ,218,Unf,0,808,1026,GasA,TA,Y,SBrkr,1026,665,1691,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Detchd,1924.0,Unf,1,308,TA,TA,Y,0,0,242,0,0,0,No,No,No,0,May,2010,WD,Normal,127000
381,381,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,60,7200,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,7,5,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,Gd,TA,PConc,Gd,Gd,No,Unf,0,Unf,0,1293,1293,GasA,Ex,Y,SBrkr,1301,0,1301,1,0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2006.0,RFn,2,572,TA,TA,Y,216,121,0,0,0,0,No,No,No,0,Aug,2006,New,Partial,187750
382,382,2-STORY 1946 & NEWER,Residential Low-Density,79,9245,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,7,5,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,939,939,GasA,Ex,Y,SBrkr,939,858,1797,0,0,2,1,3,1,Gd,8,Typ,0,No,Attchd,2006.0,RFn,2,639,TA,TA,Y,144,53,0,0,0,0,No,No,No,0,Apr,2007,WD,Normal,213500
383,383,1-1/2 STORY - UNFINISHED ALL AGES,Residential High-Density,60,9000,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Sawyer West,Normal,Normal,6,3,1928,1950,Gable,Standard (Composite) Shingle,Wood Siding,None,0,TA,TA,BrkTil,Fa,Fa,No,Unf,0,Unf,0,784,784,GasA,TA,N,FuseA,784,0,784,0,0,1,0,2,1,TA,5,Typ,0,No,Detchd,1950.0,Unf,2,360,Fa,Fa,N,0,0,91,0,0,0,No,No,No,0,Oct,2009,WD,Normal,76000
384,384,2-STORY 1946 & NEWER,Residential Low-Density,0,53107,Paved,No Alley Access,Moderately Irregular,Depression,"All public Utilities (E,G,W,& S)",Corner lot,Moderate Slope,Clear Creek,Feedr&Norm,Normal,6,5,1992,1992,Gable,Standard (Composite) Shingle,Hard Board,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,985,Unf,0,595,1580,GasA,Ex,Y,SBrkr,1079,874,1953,1,0,2,1,3,1,Gd,9,Typ,2,Fa,Attchd,1992.0,Fin,2,501,TA,TA,Y,216,231,0,0,0,0,No,No,No,0,Jun,2007,WD,Normal,240000
385,385,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,43,3182,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Bloomington Heights,Normal,Normal,8,5,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,16,Gd,TA,PConc,Gd,TA,No,GLQ,24,Unf,0,1232,1256,GasA,Ex,Y,SBrkr,1269,0,1269,0,0,2,0,2,1,Gd,6,Typ,1,TA,Attchd,2004.0,Fin,2,430,TA,TA,Y,146,20,0,0,144,0,No,No,No,0,Apr,2010,WD,Normal,192000
386,386,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,58,8410,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,Edwards,Feedr&Norm,Normal,5,3,1910,1996,Gabrel (Barn),Standard (Composite) Shingle,Wood Siding,None,0,TA,Fa,PConc,TA,TA,No,Unf,0,Unf,0,658,658,GasA,TA,Y,SBrkr,658,526,1184,0,0,1,0,5,1,TA,8,Typ,0,No,No,,No,0,0,No,No,N,0,151,0,0,0,0,No,No,No,0,May,2006,WD,AdjLand,81000
387,387,SPLIT OR MULTI-LEVEL,Residential Low-Density,72,7200,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Normal,6,6,1976,1976,Hip,Standard (Composite) Shingle,Metal Siding,Brick Face,255,TA,TA,CBlock,TA,TA,Av,ALQ,631,Unf,0,410,1041,GasA,Ex,Y,SBrkr,1125,0,1125,1,0,1,0,3,1,TA,6,Typ,1,Fa,Detchd,1977.0,Unf,1,352,TA,TA,Y,296,0,0,0,0,0,No,GdWo,No,0,Oct,2009,WD,Abnorml,125000
388,388,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,93,9382,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,College Creek,Normal,Normal,7,5,1999,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,125,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1468,1468,GasA,Ex,Y,SBrkr,1479,0,1479,0,0,2,0,3,1,Gd,6,Typ,0,No,Attchd,1999.0,RFn,2,577,TA,TA,Y,120,25,0,0,0,0,No,No,No,0,Jul,2008,WD,Normal,191000
389,389,2-STORY 1946 & NEWER,Residential Low-Density,96,12474,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,10,5,2007,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone,272,Ex,TA,PConc,Ex,TA,Av,GLQ,1280,Unf,0,402,1682,GasA,Ex,Y,SBrkr,1742,590,2332,1,0,2,1,3,1,Ex,9,Typ,1,Ex,BuiltIn,2008.0,Fin,3,846,TA,TA,Y,196,134,0,0,0,0,No,No,No,0,Aug,2008,New,Partial,426000
390,390,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,50,8405,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Normal,5,8,1900,1950,Gable,Standard (Composite) Shingle,Metal Siding,None,0,TA,TA,BrkTil,TA,Gd,No,Rec,241,BLQ,391,229,861,GasA,Ex,Y,SBrkr,961,406,1367,1,0,1,0,4,1,TA,7,Typ,0,No,Detchd,1978.0,Unf,1,384,TA,TA,Y,0,130,112,0,0,0,No,MnPrv,No,0,Apr,2008,WD,Normal,119000
391,391,2-STORY 1946 & NEWER,Residential Low-Density,71,12209,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Mitchell,Normal,Normal,6,5,2001,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,TA,TA,PConc,Ex,TA,No,ALQ,690,Unf,0,114,804,GasA,Ex,Y,SBrkr,804,1157,1961,1,0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2001.0,Fin,2,560,TA,TA,Y,125,192,0,0,0,0,No,No,No,0,Jun,2009,WD,Normal,215000
392,392,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8339,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,5,7,1959,1959,Gable,Standard (Composite) Shingle,Metal Siding,None,0,TA,TA,Slab,No,No,No,No,0,No,0,0,0,GasA,TA,Y,SBrkr,882,0,882,0,0,1,0,3,1,TA,5,Typ,0,No,Attchd,1959.0,RFn,1,294,TA,TA,Y,0,0,0,0,0,0,No,MnPrv,Shed,1200,Jul,2007,WD,Normal,106500
393,393,1-STORY 1945 & OLDER,Residential Low-Density,0,7446,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Brookside,Feedr&Norm,Normal,4,5,1941,1950,Gable,Standard (Composite) Shingle,Wood Shingles,None,0,TA,TA,CBlock,TA,TA,No,Rec,266,Unf,0,522,788,GasA,TA,Y,FuseA,788,0,788,0,0,1,0,2,1,TA,4,Typ,2,TA,No,,No,0,0,No,No,Y,0,0,0,0,0,0,No,GdWo,No,0,Apr,2006,WD,Abnorml,100000
394,394,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,10134,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Normal,5,6,1940,1950,Gable,Standard (Composite) Shingle,Metal Siding,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,735,735,GasA,Gd,Y,FuseA,735,299,1034,0,0,1,0,2,1,TA,5,Typ,0,No,Detchd,1940.0,Unf,1,240,TA,TA,Y,0,39,0,0,0,0,No,No,No,0,Jul,2007,WD,Normal,109000
395,395,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,68,9571,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Normal,5,6,1956,1956,Gable,Standard (Composite) Shingle,Wood Siding,None,0,TA,TA,CBlock,TA,TA,Av,BLQ,739,Unf,0,405,1144,GasA,TA,Y,SBrkr,1144,0,1144,1,0,1,0,3,1,TA,6,Typ,0,No,Attchd,1956.0,Unf,1,596,TA,TA,Y,44,0,0,0,0,0,No,No,No,0,Jun,2010,WD,Normal,129000
396,396,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,7200,Paved,No Alley Access,Regular,Depression,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,5,5,1972,1972,Hip,Standard (Composite) Shingle,Metal Siding,None,0,TA,TA,CBlock,TA,TA,Av,Rec,777,Unf,0,117,894,GasA,TA,Y,SBrkr,894,0,894,0,0,1,0,2,1,TA,6,Typ,0,No,Detchd,1985.0,RFn,2,600,TA,TA,Y,215,0,0,0,0,0,No,No,No,0,Sep,2009,WD,Normal,123000
397,397,2-STORY 1946 & NEWER,Residential Low-Density,69,7590,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,PosN&Norm,Normal,5,5,1962,1962,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,288,TA,TA,CBlock,TA,TA,No,ALQ,540,Unf,0,324,864,GasA,TA,Y,SBrkr,876,936,1812,0,0,2,0,4,1,TA,8,Typ,1,TA,Attchd,1962.0,RFn,1,264,TA,TA,Y,0,168,0,0,0,0,No,No,No,0,Jul,2007,WD,Normal,169500
398,398,1-STORY 1945 & OLDER,Residential Medium Density,60,8967,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,5,2,1920,1950,Gable,Standard (Composite) Shingle,Metal Siding,None,0,TA,Fa,BrkTil,Fa,Po,No,Unf,0,Unf,0,961,961,GasA,Gd,Y,Mix,1077,0,1077,0,0,1,0,2,1,TA,6,Maj2,0,No,Detchd,1920.0,Unf,1,338,Po,Po,N,0,0,0,0,0,0,No,No,No,0,Nov,2007,WD,Abnorml,67000
399,399,2-STORY 1946 & NEWER,Floating Village Residential,65,8125,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,7,5,2006,2007,Gable,Standard (Composite) Shingle,Cement Board,Stone,100,Gd,TA,PConc,Gd,TA,No,GLQ,812,Unf,0,280,1092,GasA,Ex,Y,SBrkr,1112,438,1550,1,0,2,0,2,1,Gd,7,Typ,0,No,Attchd,2007.0,Fin,2,438,TA,TA,Y,0,168,0,0,0,0,No,No,No,0,Oct,2009,WD,Normal,241000
400,400,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,38,14963,Paved,No Alley Access,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Veenker,Normal,Normal,8,5,1996,1996,Gable,Standard (Composite) Shingle,Brick Face,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,786,Unf,0,474,1260,GasA,Ex,Y,SBrkr,1288,0,1288,1,0,1,1,1,1,Ex,4,Typ,2,Gd,Attchd,1996.0,Fin,2,500,TA,TA,Y,120,30,0,0,224,0,No,No,No,0,Dec,2008,WD,Normal,245500
401,401,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,8767,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,7,5,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1286,1310,GasA,Ex,Y,SBrkr,1310,0,1310,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2005.0,Fin,2,400,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,Jul,2006,New,Partial,164990
402,402,1-STORY 1945 & OLDER,Residential Low-Density,60,10200,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,5,8,1940,1997,Gable,Standard (Composite) Shingle,Wood Siding,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,672,672,GasA,Ex,Y,SBrkr,672,0,672,0,0,1,0,2,1,TA,4,Typ,0,No,Detchd,1940.0,Unf,1,240,TA,TA,N,168,0,0,0,0,0,No,GdPrv,No,0,Aug,2008,WD,Normal,108000
403,403,2-STORY 1946 & NEWER,Residential Low-Density,93,12090,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northridge,Normal,Normal,8,5,1998,1998,Hip,Standard (Composite) Shingle,Vinyl Siding,Brick Face,650,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1141,1141,GasA,Gd,Y,SBrkr,1165,1098,2263,0,0,2,1,4,1,Gd,10,Typ,1,TA,BuiltIn,1998.0,Fin,2,420,TA,TA,Y,144,123,0,0,0,0,No,No,No,0,Jul,2006,WD,Abnorml,258000
404,404,2-STORY 1946 & NEWER,Residential Low-Density,0,10364,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Normal,6,5,1995,1996,Gable,Standard (Composite) Shingle,Metal Siding,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,806,806,GasA,Gd,Y,SBrkr,806,766,1572,0,0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1995.0,Fin,2,373,TA,TA,Y,0,40,0,0,0,0,No,No,No,0,May,2007,WD,Normal,168000
405,405,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9991,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Sawyer,Feedr&Norm,Normal,4,4,1976,1993,Gable,Standard (Composite) Shingle,Plywood,None,0,TA,TA,CBlock,TA,TA,No,BLQ,1116,Unf,0,165,1281,GasA,Ex,Y,SBrkr,1620,0,1620,1,0,2,0,3,1,TA,8,Min1,1,TA,Attchd,1993.0,Unf,2,490,TA,TA,Y,120,78,0,0,0,0,No,GdWo,No,0,Jun,2009,WD,Normal,150000
406,406,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,51,10480,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,South & West of Iowa State University,Normal,Normal,6,5,1936,1950,Gable,Standard (Composite) Shingle,Metal Siding,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,1064,1064,GasA,Ex,Y,FuseA,1166,0,1639,0,0,1,0,3,1,TA,6,Maj2,0,No,Detchd,1936.0,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,Mar,2008,WD,Normal,115000
407,407,2-STORY 1945 & OLDER,Residential Low-Density,63,15576,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Normal,Normal,6,7,1915,1976,Gable,Standard (Composite) Shingle,Wood Siding,None,0,TA,TA,BrkTil,Gd,TA,No,Unf,0,Unf,0,840,840,GasA,Ex,Y,SBrkr,840,840,1680,0,0,2,0,4,1,TA,8,Typ,0,No,Attchd,1960.0,Unf,1,308,TA,TA,Y,0,0,160,0,0,0,No,No,No,0,Mar,2008,WD,Normal,177000
